OG	tree	original_polytomies	resolved_polytomies	inconsistent_triples	prunned_leaves
OG16160	(Solyc05g054680.1.1[&&NHX:species=Tomato],Sopen05g033150.1[&&NHX:species=S. Pennelli],Capana05g002374[&&NHX:species=Dom. pepper],SPI05g04802.1[&&NHX:species=S. pimp],Capang05g001921[&&NHX:species=Wild pepper],PGSC0003DMP400040508[&&NHX:species=Potato])S;	0	0	0	
OG16162	(PGSC0003DMP400017556[&&NHX:species=Potato],Solyc04g081590.4.1[&&NHX:species=Tomato],SLYcer04g05764.1[&&NHX:species=Tomato Cherry],Sopen04g035200.1[&&NHX:species=S. Pennelli],Capang04g000159[&&NHX:species=Wild pepper],Capana04g000175[&&NHX:species=Dom. pepper])S;	0	0	0	
OG16704	(Solyc07g005010.4.1[&&NHX:species=Tomato],Sopen07g001120.1[&&NHX:species=S. Pennelli],Capana07g000270[&&NHX:species=Dom. pepper],Capang07g000269[&&NHX:species=Wild pepper],SLYcer07g00051.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400020982[&&NHX:species=Potato],SPI07g00061.1[&&NHX:species=S. pimp])S;	0	0	0	
OG16722	(Capang07g000204[&&NHX:species=Wild pepper],PGSC0003DMP400061784[&&NHX:species=Potato],SPI07g00200.1[&&NHX:species=S. pimp],Sopen07g001640.1[&&NHX:species=S. Pennelli],Capana07g000205[&&NHX:species=Dom. pepper],SLYcer07g00132.1[&&NHX:species=Tomato Cherry],Solyc07g005540.1.1[&&NHX:species=Tomato])S;	0	0	0	
OG16733	(Solyc03g007070.3.1[&&NHX:species=Tomato],Capang03g002401[&&NHX:species=Wild pepper],SLYcer03g00302.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400054039[&&NHX:species=Potato],Capana03g002485[&&NHX:species=Dom. pepper],Sopen03g003060.1[&&NHX:species=S. Pennelli],SPI03g00520.1[&&NHX:species=S. pimp])S;	0	0	0	
OG16760	(Capana01g000450[&&NHX:species=Dom. pepper],SPI08g06099.1[&&NHX:species=S. pimp],PGSC0003DMP400007020[&&NHX:species=Potato],Sopen08g028100.1[&&NHX:species=S. Pennelli],SLYcer08g06202.1[&&NHX:species=Tomato Cherry],Capang01g000411[&&NHX:species=Wild pepper],Solyc08g079740.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG16829	(SPI07g00519.1[&&NHX:species=S. pimp],Capang07g000401[&&NHX:species=Wild pepper],Solyc07g007780.3.1[&&NHX:species=Tomato],Capana07g000363[&&NHX:species=Dom. pepper],PGSC0003DMP400048571[&&NHX:species=Potato],Sopen07g001070.1[&&NHX:species=S. Pennelli],SLYcer07g00464.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG16868	(Sopen10g004750.1[&&NHX:species=S. Pennelli],PGSC0003DMP400039560[&&NHX:species=Potato],Capana10g000475[&&NHX:species=Dom. pepper],Solyc10g008960.1.1[&&NHX:species=Tomato],Capang10g000369[&&NHX:species=Wild pepper],SPI10g00511.1[&&NHX:species=S. pimp],SLYcer10g00651.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG16930	(Capang00g000541[&&NHX:species=Wild pepper],SLYcer06g04102.1[&&NHX:species=Tomato Cherry],Solyc06g063150.4.1[&&NHX:species=Tomato],Capana00g004930[&&NHX:species=Dom. pepper],SPI06g03968.1[&&NHX:species=S. pimp],Sopen06g022600.1[&&NHX:species=S. Pennelli],PGSC0003DMP400008719[&&NHX:species=Potato])S;	0	0	0	
OG16944	(PGSC0003DMP400040827[&&NHX:species=Potato],Capana00g001933[&&NHX:species=Dom. pepper],Solyc04g012050.3.1[&&NHX:species=Tomato],SLYcer04g00972.1[&&NHX:species=Tomato Cherry],SPI04g00785.1[&&NHX:species=S. pimp],Capang05g000265[&&NHX:species=Wild pepper],Sopen04g006170.1[&&NHX:species=S. Pennelli])S;	0	0	0	
